period,houston_delinquency_pct,dfw_delinquency_pct,gap_pp
2017-01-01,0.0,0.0,0.0
2017-02-01,0.0,0.066,-0.066
2017-03-01,0.248,0.154,0.094
2017-04-01,0.258,0.328,-0.07
2017-05-01,0.232,0.255,-0.023
2017-06-01,0.239,0.218,0.021
2017-07-01,0.365,0.225,0.14
2017-08-01,0.535,0.311,0.224
2017-09-01,4.385,0.457,3.928
2017-10-01,5.575,0.442,5.133
2017-11-01,5.158,0.45,4.708
2017-12-01,4.499,0.706,3.793
2018-01-01,3.835,0.544,3.291
2018-02-01,3.806,0.637,3.169
2018-03-01,2.993,0.565,2.428
2018-04-01,2.573,0.702,1.871
2018-05-01,2.284,0.673,1.611
2018-06-01,1.969,0.754,1.215
2018-07-01,1.566,0.818,0.748
2018-08-01,1.311,0.73,0.581
2018-09-01,1.558,1.126,0.432
2018-10-01,1.351,0.889,0.462
2018-11-01,1.461,0.993,0.468
2018-12-01,1.583,1.122,0.461
2019-01-01,1.457,1.056,0.401
2019-02-01,1.674,1.221,0.453
2019-03-01,1.67,1.32,0.35
2019-04-01,1.378,1.096,0.282
2019-05-01,1.421,1.269,0.152
2019-06-01,1.937,1.751,0.186
2019-07-01,1.687,1.281,0.406
2019-08-01,1.766,1.133,0.633
2019-09-01,1.689,1.389,0.3
2019-10-01,1.679,1.33,0.349
2019-11-01,2.054,1.453,0.601
2019-12-01,1.992,1.745,0.247
2020-01-01,1.862,1.478,0.384
2020-02-01,2.054,1.45,0.604
2020-03-01,2.127,1.684,0.443
2020-04-01,6.377,5.424,0.953
2020-05-01,8.631,7.74,0.891
2020-06-01,8.455,7.746,0.709
2020-07-01,7.827,6.828,0.999
2020-08-01,7.963,6.855,1.108
2020-09-01,7.817,6.728,1.089
2020-10-01,7.434,6.776,0.658
2020-11-01,7.772,6.462,1.31
2020-12-01,7.52,6.262,1.258
2021-01-01,7.155,5.948,1.207
2021-02-01,7.72,6.262,1.458
2021-03-01,6.573,5.611,0.962
2021-04-01,6.24,5.415,0.825
2021-05-01,6.119,5.564,0.555
2021-06-01,5.652,5.096,0.556
2021-07-01,5.282,4.944,0.338
2021-08-01,5.412,4.762,0.65
2021-09-01,4.922,4.203,0.719
2021-10-01,4.71,4.183,0.527
2021-11-01,4.798,3.97,0.828
2021-12-01,4.579,3.854,0.725
2022-01-01,4.214,3.735,0.479
2022-02-01,4.236,4.208,0.028
2022-03-01,3.782,3.571,0.211
2022-04-01,3.412,3.123,0.289
2022-05-01,3.778,3.006,0.772
2022-06-01,3.769,2.806,0.963
2022-07-01,3.598,2.594,1.004
2022-08-01,3.349,2.526,0.823
2022-09-01,3.035,2.522,0.513
2022-10-01,3.257,2.678,0.579
2022-11-01,3.168,2.618,0.55
2022-12-01,3.192,2.718,0.474
2023-01-01,3.126,2.462,0.664
2023-02-01,3.162,2.714,0.448
2023-03-01,2.826,2.563,0.263
2023-04-01,2.853,2.527,0.326
2023-05-01,2.969,2.473,0.496
2023-06-01,3.105,2.635,0.47
2023-07-01,3.398,2.316,1.082
2023-08-01,3.262,2.051,1.211
2023-09-01,3.179,2.16,1.019
2023-10-01,3.318,2.526,0.792
2023-11-01,3.51,2.361,1.149
2023-12-01,3.455,2.464,0.991
2024-01-01,3.004,2.269,0.735
2024-02-01,3.135,2.492,0.643
2024-03-01,2.79,2.622,0.168
2024-04-01,2.664,2.547,0.117
2024-05-01,2.681,2.534,0.147
2024-06-01,3.306,3.125,0.181
2024-07-01,3.748,2.659,1.089
2024-08-01,3.597,2.367,1.23
2024-09-01,3.447,2.359,1.088
2024-10-01,3.577,2.215,1.362
2024-11-01,3.831,2.766,1.065
2024-12-01,3.472,2.506,0.966
2025-01-01,3.497,2.331,1.166
2025-02-01,3.829,2.506,1.323
2025-03-01,3.444,2.586,0.858
2025-04-01,3.629,2.83,0.799
2025-05-01,3.399,2.715,0.684
2025-06-01,3.512,2.678,0.834
2025-07-01,3.51,2.627,0.883
2025-08-01,3.674,2.376,1.298
2025-09-01,3.482,2.362,1.12
