period,sonoma_delinquency_pct,sacramento_delinquency_pct,gap_pp
2017-01-01,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0
2017-03-01,0.0,0.142,-0.142
2017-04-01,0.946,0.356,0.59
2017-05-01,0.241,0.201,0.04
2017-06-01,0.38,0.418,-0.038
2017-07-01,0.401,0.377,0.024
2017-08-01,0.16,0.413,-0.253
2017-09-01,0.641,0.415,0.226
2017-10-01,0.972,0.504,0.468
2017-11-01,1.803,0.295,1.508
2017-12-01,2.316,0.383,1.933
2018-01-01,1.921,0.647,1.274
2018-02-01,1.61,0.522,1.088
2018-03-01,1.635,0.482,1.153
2018-04-01,1.742,0.442,1.3
2018-05-01,1.757,0.356,1.401
2018-06-01,1.508,0.493,1.015
2018-07-01,1.88,0.72,1.16
2018-08-01,1.262,0.499,0.763
2018-09-01,1.273,0.825,0.448
2018-10-01,1.005,0.739,0.266
2018-11-01,0.917,0.79,0.127
2018-12-01,1.659,1.22,0.439
2019-01-01,1.389,1.602,-0.213
2019-02-01,1.399,1.093,0.306
2019-03-01,1.571,1.049,0.522
2019-04-01,1.493,1.157,0.336
2019-05-01,1.32,1.023,0.297
2019-06-01,1.716,1.579,0.137
2019-07-01,1.445,1.196,0.249
2019-08-01,1.077,1.218,-0.141
2019-09-01,1.707,1.55,0.157
2019-10-01,1.535,1.273,0.262
2019-11-01,1.581,1.205,0.376
2019-12-01,1.834,1.346,0.488
2020-01-01,1.205,1.324,-0.119
2020-02-01,1.462,1.583,-0.121
2020-03-01,1.489,1.687,-0.198
2020-04-01,7.294,5.839,1.455
2020-05-01,9.816,7.083,2.733
2020-06-01,9.091,6.883,2.208
2020-07-01,8.41,7.153,1.257
2020-08-01,8.929,6.741,2.188
2020-09-01,8.873,6.672,2.201
2020-10-01,8.076,6.829,1.247
2020-11-01,8.333,6.774,1.559
2020-12-01,7.89,6.756,1.134
2021-01-01,7.488,6.848,0.64
2021-02-01,8.763,7.066,1.697
2021-03-01,8.545,6.531,2.014
2021-04-01,6.742,5.658,1.084
2021-05-01,6.68,5.594,1.086
2021-06-01,6.953,5.771,1.182
2021-07-01,5.696,5.5,0.196
2021-08-01,6.154,5.729,0.425
2021-09-01,6.109,4.336,1.773
2021-10-01,5.607,4.571,1.036
2021-11-01,5.516,4.106,1.41
2021-12-01,6.404,4.116,2.288
2022-01-01,5.882,3.931,1.951
2022-02-01,5.526,4.173,1.353
2022-03-01,4.301,3.566,0.735
2022-04-01,3.324,3.328,-0.004
2022-05-01,3.38,2.721,0.659
2022-06-01,2.841,2.931,-0.09
2022-07-01,3.188,2.972,0.216
2022-08-01,4.651,3.697,0.954
2022-09-01,3.858,3.025,0.833
2022-10-01,4.776,3.571,1.205
2022-11-01,3.604,2.5,1.104
2022-12-01,4.819,2.693,2.126
2023-01-01,3.333,2.873,0.46
2023-02-01,3.04,2.883,0.157
2023-03-01,2.744,2.536,0.208
2023-04-01,4.0,2.747,1.253
2023-05-01,3.738,2.206,1.532
2023-06-01,4.075,2.399,1.676
2023-07-01,4.088,2.957,1.131
2023-08-01,4.416,2.804,1.612
2023-09-01,4.14,3.002,1.138
2023-10-01,3.834,3.036,0.798
2023-11-01,3.859,2.657,1.202
2023-12-01,3.537,1.919,1.618
2024-01-01,3.537,2.317,1.22
2024-02-01,4.194,1.934,2.26
2024-03-01,3.871,2.326,1.545
2024-04-01,3.268,2.344,0.924
2024-05-01,4.575,1.765,2.81
2024-06-01,4.983,1.772,3.211
2024-07-01,4.333,2.367,1.966
2024-08-01,4.392,1.786,2.606
2024-09-01,4.762,2.204,2.558
2024-10-01,3.767,2.434,1.333
2024-11-01,4.167,3.055,1.112
2024-12-01,4.545,3.259,1.286
2025-01-01,4.196,2.863,1.333
2025-02-01,3.509,3.106,0.403
2025-03-01,3.873,2.495,1.378
2025-04-01,3.534,1.883,1.651
2025-05-01,4.301,2.101,2.2
2025-06-01,3.597,2.114,1.483
2025-07-01,4.332,2.119,2.213
2025-08-01,3.261,1.907,1.354
2025-09-01,4.0,1.911,2.089
